Year,Heat and Power (Commercial),Heat and Power (Electric),Heat and Power (Industrial),Electric Generators (Utilities),Electric Generators (Independent Producers)
1990,1591.366,23894.598,42213.749,3119211.414,1111.834
1991,1550.402,33842.715,42003.824,3102333.676,1514.88
1992,1497.638,41306.218,45486.805,3151790.788,2330.631
1993,1727.69,46817.747,47484.466,3278302.372,5808.189
1994,1699.261,52827.124,47136.287,3270985.942,8739.118
1995,1995.483,56195.177,44744.813,3305828.932,10088.528
1996,2101.802,58414.557,44343.404,3474906.954,10624.47
1997,2079.646,55222.854,46428.307,3575612.688,10687.98
1998,1970.934,54348.809,44673.837,3614959.658,31078.142
1999,1990.561,53102.193,42948.436,3535358.892,128774.363
2000,2194.668,65071.966,44111.944,3393238.614,427912
2001,1990.32,62005.534,40269.294,3120291.084,583355.654
2002,1984.464,58816.033,43050.616,3029339.9,733069.694
2003,2411.602,73870.058,39634.246,3000562.224,830995.369
2004,2680.003,72256.972,39545.674,3027281.612,814836.838
2005,2706.124,73081.954,38932.215,2969710.376,941315.428
2006,2620.29,72027.569,38927.687,2942842.12,924604.602
2007,2742.261,72855.378,33388.314,2981969.393,941955.82
2008,2522.243,73768.815,31405.084,2932790.382,931115.964
2009,2191.055,58495.642,27371.402,2644184.07,779566.339
2010,2222.695,60500.528,36882.776,2756056.829,838917.733
2011,2098.28675,51662.36715,28980.25936,2602214.657,781904.4402
2012,1765.96,44481.929,25206.218,2292960.842,663670.943
2013,1677.11066,41109.97935,25107.32841,2376904.828,717430.1851
2014,1190.55482,38705.38449,24681.42698,2346145.908,752697.4253
2015,1017.586,34158.566,21792.211,1996770.2,651057.827
2016,766.866,28585.281,18205.042,1844798.953,585941.165
2017,657.234,25155.775,15337.458,1787278.931,583241.158
